SimaPro 9.5.0.1	Inventory	Date:	31/07/2023	Time:	11:54:34
Project	Doris_Thesis


Calculation: 	Compare
Results: 	Inventory
Product 1: 	1 kg white rice cooked, at household {CH} (of project Doris_Thesis)
Product 2: 	1 kg white rice cooked, at household {CN} (of project Doris_Thesis)
Product 3: 	1 kg white rice cooked, at household {IN} (of project Doris_Thesis)
Method: 	ReCiPe 2016 Midpoint (H) V1.08 / World (2010) H
Indicator: 	Inventory
Compartment: 	All compartments
Per sub-compartment: 	Yes
Default units: 	Yes
Exclude infrastructure processes: 	No
Exclude long-term emissions: 	No
Sorted on item: 	Substance
Sort order: 	Ascending

No	Substance	Compartment	Subcompartment	Unit	white rice cooked, at household {CH}	white rice cooked, at household {CN}	white rice cooked, at household {IN}
136	Ammonia	Air	low. pop., long-term	kg	5.2172956E-9	3.8328038E-9	2.3953095E-8
137	Ammonia	Soil	industrial	kg	2.6044538E-10	3.5047584E-10	3.1208108E-10
138	Ammonium carbonate	Air	high. pop.	kg	3.5804657E-9	4.7287818E-9	4.0841472E-9
139	Ammonium sulfate	Water		kg	7.2444668E-13	2.4388207E-13	1.7635227E-13
140	Ammonium, ion	Water		kg	2.0636994E-6	8.0048593E-6	7.9715655E-6
141	Ammonium, ion	Water	groundwater	kg	1.288114E-6	1.6697728E-6	1.5487339E-6
142	Ammonium, ion	Water	groundwater, long-term	kg	5.1645952E-6	2.0674666E-6	1.9620118E-6
143	Ammonium, ion	Water	ocean	kg	7.0306079E-6	3.9750707E-6	3.4516754E-6
144	Ammonium, ion	Water	river	kg	4.4123909E-5	4.839301E-5	4.6748849E-5
145	Anhydrite	Raw	in ground	kg	7.3997738E-8	5.8554563E-8	5.7302786E-8
146	Aniline	Air	high. pop.	kg	8.7797618E-8	3.1392492E-7	3.1393055E-7
147	Aniline	Water		kg	3.2691695E-8	1.2539005E-8	1.2328995E-8
148	Aniline	Water	river	kg	2.1109105E-7	7.5480146E-7	7.5481498E-7
149	Anthracene	Air		kg	1.9492574E-12	6.2862238E-16	7.0875912E-16
150	Anthracene	Water	river	kg	1.6417047E-9	2.1507528E-9	1.273004E-9
151	Anthranilic acid	Air	high. pop.	kg	6.0776405E-10	2.1949204E-9	2.1958872E-9
152	Anthraquinone	Soil	agricultural	kg	1.4290437E-11	8.7266431E-15	6.5112137E-15
153	Antimony	Raw	in ground	kg	1.0537903E-9	1.5699659E-9	1.507239E-9
154	Antimony-122	Water	river	Bq	5.4774736E-5	3.8354727E-5	1.759326E-5
155	Antimony-124	Air	low. pop.	Bq	8.2749511E-8	2.6311664E-8	1.6628218E-8
156	Antimony-124	Water	river	Bq	0.091877814	0.055619356	0.23101717
157	Antimony-125	Air	low. pop.	Bq	1.4178416E-6	9.928104E-7	4.5540076E-7
158	Antimony-125	Water	river	Bq	0.0026050313	0.0017907585	0.0008324124
159	Antimony, ion	Air		kg	2.818825E-6	2.3322051E-6	6.4437469E-7
160	Antimony, ion	Air	high. pop.	kg	6.3911391E-7	1.7728199E-9	1.435416E-9
161	Antimony, ion	Air	low. pop.	kg	4.6775444E-8	3.9692797E-8	2.5530102E-8
